id,device_id,manufacturer,event_type,event_ts,longitude,latitude,iot_signal_1,iot_signal_2,iot_signal_3,iot_signal_4
0,0x1000000000005,New World Corp,system malfunction,2023-12-01 01:00:00,-93.9,41.51341,3.0,1016.0,51.0,104.0
1,0x1000000000009,AIAI Inc.,tank below 10%,2023-12-01 01:01:00,-93.9,41.51341,9.0,1007.0,52.0,103.0
2,0x1000000000008,New World Corp,tank below 10%,2023-12-01 01:02:00,-93.9,41.51341,6.0,1011.0,54.0,103.0
3,0x1000000000007,Hot Data Ltd,tank below 10%,2023-12-01 01:03:00,-93.9,41.51341,2.0,1014.0,53.0,105.0
4,0x1000000000000,AIAI Inc.,tank below 10%,2023-12-01 01:04:00,-93.9,41.51341,10.0,1001.0,55.0,102.0
5,0x1000000000008,New World Corp,device error,2023-12-01 01:05:00,-93.9,41.51341,3.0,1012.0,50.0,105.0
6,0x1000000000005,New World Corp,system malfunction,2023-12-01 01:06:00,-93.9,41.51341,2.0,1009.0,50.0,102.0
7,0x1000000000001,Hot Data Ltd,device error,2023-12-01 01:07:00,-93.9,41.51341,5.0,1013.0,54.0,102.0
8,0x1000000000006,AIAI Inc.,tank below 10%,2023-12-01 01:08:00,-93.9,41.51341,6.0,1005.0,53.0,107.0
9,0x1000000000009,AIAI Inc.,tank below 10%,2023-12-01 01:09:00,-93.9,41.51341,7.0,1008.0,53.0,104.0
10,0x1000000000007,Hot Data Ltd,device error,2023-12-01 01:10:00,-93.9,41.51341,5.0,1005.0,55.0,106.0
11,0x1000000000001,Hot Data Ltd,tank below 10%,2023-12-01 01:11:00,-93.9,41.51341,3.0,1006.0,51.0,103.0
12,0x1000000000002,New World Corp,system malfunction,2023-12-01 01:12:00,-93.9,41.51341,8.0,1015.0,53.0,106.0
13,0x1000000000003,AIAI Inc.,tank below 5%,2023-12-01 01:13:00,-93.9,41.51341,4.0,1018.0,52.0,105.0
14,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 01:14:00,-93.9,41.51341,9.0,1006.0,54.0,104.0
15,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 01:15:00,-93.9,41.51341,8.0,1019.0,51.0,101.0
